"filename", "language", "JavaScript", "XML", "JSON", "JSON with Comments", "Markdown", "JavaScript JSX", "TypeScript", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\am-uitat-parola\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 8, 114
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\blog\[blogName]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\blog\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\checkout\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\comanda-finalizata\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\creeaza-cont\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 5, 16, 153
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1383, 0, 0, 50, 326, 1759
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 14, 54
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\login\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 12, 110
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\magazin\[productName]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\magazin\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\not-found.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 6, 36
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\plata-card\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\politica-anulare-comanda\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
